"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"432","@Ola_Crrypt Idan show me love live long boss <U+0001F64F><U+0001F44D> https://t.co/9KM0ZwaIFF",FALSE,0,"Ola_Crrypt",2023-04-28 09:09:20,FALSE,"1651867008303071232","1651876238972051456","1506909333740826628","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmithBeasty",0,FALSE,FALSE,NA,NA
"433","@Arun2981 PM should start using ola and uber.
#KejriwalKaSheeshMahal",FALSE,0,"Arun2981",2023-04-28 09:09:20,FALSE,"1651629700593209345","1651876237487538177","133182052","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mogamborabbit",0,FALSE,FALSE,NA,NA
"434","RT @Obianuju_eric: And God told Moses, you will see the promise land but you won’t enter<U+0001F639>

Help me tag Arsenal fans<U+0001F639><U+0001F639> https://t.co/nAZWEsop…",FALSE,0,NA,2023-04-28 09:09:16,FALSE,NA,"1651876223679602689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",190,TRUE,FALSE,NA,NA
"435","RT @omnia_protocol: OMNIA is partnering with #Ola (@Sin7y_Labs)<U+0001F44C>  

Ola, a ZKVM-based high-performance L2, is on a mission to help people g…",FALSE,0,NA,2023-04-28 09:09:03,FALSE,NA,"1651876168423940103",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","benozgurrum",14,TRUE,FALSE,NA,NA
"436","RT @purpkulture: Do you want a “GOOD TIME” or “ATTENTION” <U+2049><U+FE0F>
<U+0001F535> OR <U+0001F534>

— Listen to ‘ATTENTION’ here <U+0001F449><U+0001F3FD> https://t.co/K2Qky65aF7 https://t.co/x…",FALSE,0,NA,2023-04-28 09:08:59,FALSE,NA,"1651876151701151750",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",411,TRUE,FALSE,NA,NA
"437","RT @MarcusRashford: We were disappointed to not come away with the victory! We have a lot of important games around the corner and need to…",FALSE,0,NA,2023-04-28 09:08:50,FALSE,NA,"1651876115403743232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ola_kush1804",1488,TRUE,FALSE,NA,NA
"438","RT @oyindapenaddict: Sitting well in a frame<U+0001F92D> https://t.co/WwIorUs1fR",FALSE,0,NA,2023-04-28 09:08:50,FALSE,NA,"1651876115022004224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",429,TRUE,FALSE,NA,NA
"439","@asake_ola Na still surprise",FALSE,0,"asake_ola",2023-04-28 09:08:49,FALSE,"1651875536510021633","1651876108390809600","1134136806113521664","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Asiyanbolatayo",0,FALSE,FALSE,NA,NA
"440","@Ola_Crrypt Pray pray pray against wasted efforts too",FALSE,0,"Ola_Crrypt",2023-04-28 09:08:48,FALSE,"1651652300090351616","1651876103718305793","1506909333740826628","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PinnacleCrypt",0,FALSE,FALSE,NA,NA
"441","RT @PIDOMNIGERIA: Imagine twitter threatening me, not to be posting evidence again. That this is my final warning. Any more posting, they w…",FALSE,0,NA,2023-04-28 09:08:42,FALSE,NA,"1651876080888709123",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bayo",1205,TRUE,FALSE,NA,NA
"442","@GERALYNGOFF6 @ProudFede Trophy will stay forever bruh!",FALSE,0,"GERALYNGOFF6",2023-04-28 09:08:38,FALSE,"1651743155820306432","1651876061276262400","1631624158462513153","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ola_Drey2",0,FALSE,FALSE,NA,NA
"443","@OlaElectric This shows ola's incredible capabilities",FALSE,0,"OlaElectric",2023-04-28 09:08:32,FALSE,"1651860233919291393","1651876036433547267","1051810595954147329","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","khanrihank",0,FALSE,FALSE,NA,NA
"444","@ola_supports @Olacabs @Ola_Bangalore 
I have paid the amount to the auto rickshaw and still the amount is shown as… https://t.co/G6Gp75r35V",FALSE,0,"ola_supports",2023-04-28 09:08:21,TRUE,NA,"1651875990707077120","2542889478","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Smriti17649891",0,FALSE,FALSE,NA,NA
"445","""Revolutionary OLA Electric Scooter: 3 Reasons Why It Will Lead the Way in 2023""

-&gt;https://t.co/kifgpMpuqM https://t.co/7Rm2yFoAWz",FALSE,1,NA,2023-04-28 09:08:20,FALSE,NA,"1651875989666910210",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MotorIndia_",0,FALSE,FALSE,NA,NA
"446","RT @R_Billz07: On any given day in a hospital, you can find people having the best day of their life, the worst day of their life, the firs…",FALSE,0,NA,2023-04-28 09:08:09,FALSE,NA,"1651875942044778498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",50,TRUE,FALSE,NA,NA
"447","They told me that i have wait for call from customer care and its now already been 4months and 10 days but still no… https://t.co/EqDWVEUG8R",FALSE,0,NA,2023-04-28 09:08:04,TRUE,NA,"1651875919651561472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrAPpy20",0,FALSE,FALSE,NA,NA
"448","@ola_chalcedony They don’t know",FALSE,1,"ola_chalcedony",2023-04-28 09:07:55,FALSE,"1651762311973986304","1651875883290882050","716957252586831872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helit_rate",0,FALSE,FALSE,NA,NA
